Id,Dwelling Type,Lot Frontage,Lot Area,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,1st Floor Area,2nd Floor Area,Total Area,Bedrooms Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Finish,Garage Cars,Sale Condition,Sale Price,Porch Area,Full Bathrooms,Half Bathrooms,Bathrooms,Pool,Extra Kitchens,Baths per Bedroom,dt_1-1/2 STORY ALL AGES,dt_1-STORY 1945 & OLDER,dt_1-STORY PUD,dt_2 FAMILY CONVERSION,dt_2-1/2 STORY ALL AGES,dt_2-STORY 1945 & OLDER,dt_2-STORY 1946 & NEWER,dt_2-STORY PUD,dt_DUPLEX,dt_SPLIT FOYER,dt_SPLIT OR MULTI-LEVEL,lc_Banked,lc_Depression,lc_Hillside,nh_Bloomington Heights,nh_Bluestem,nh_Briardale,nh_Brookside,nh_Clear Creek,nh_College Creek,nh_Crawford,nh_Edwards,nh_Gilbert,nh_Iowa DOT and Rail Road,nh_Meadow Village,nh_Mitchell,nh_Northpark Villa,nh_Northridge,nh_Northridge Heights,nh_Northwest Ames,nh_Old Town,nh_Sawyer,nh_Sawyer West,nh_Somerset,nh_South & West of Iowa State,nh_Stone Brook,nh_Timberland,nh_Veenker,locc_Adjacent Arterial St,locc_Adjacent Feeder St,locc_Adjacent Pos Feature,locc_Adjacent Railroad,locc_Near Pos Feature,locc_Near Railroad,sc_Abnormal Sale,sc_Allocation,sc_Home not complete,sc_Sale within Family,gf_Finished,gf_Rough Finished,gf_Unfinished,Kitchen Quality Num
12,2-STORY 1946 & NEWER,85,11924,Level,Northridge Heights,Normal,9,5,2005,286,998,177,1182,1142,2324,4,Excellent,11,2,Finished,3,Home was not completed when last assessed (associated with New Homes),345000,168,4,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
13,1-STORY 1946 & NEWER,0,12968,Level,Sawyer,Normal,5,6,1962,0,737,175,912,0,912,2,Average,4,0,Unfinished,1,Normal Sale,144000,316,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
14,1-STORY 1946 & NEWER,91,10652,Level,College Creek,Normal,7,5,2006,306,0,1494,1494,0,1494,3,Good,7,1,Rough Finished,3,Home was not completed when last assessed (associated with New Homes),279500,193,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
15,1-STORY 1946 & NEWER,0,10920,Level,North Ames,Normal,6,5,1960,212,733,520,1253,0,1253,2,Average,5,1,Rough Finished,1,Normal Sale,157000,389,2,1,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
17,1-STORY 1946 & NEWER,0,11241,Level,North Ames,Normal,6,7,1970,180,578,426,1004,0,1004,2,Average,5,1,Finished,2,Normal Sale,149000,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
18,DUPLEX,72,10791,Level,Sawyer,Normal,4,5,1967,0,0,0,1296,0,1296,2,Average,6,0,Unfinished,2,Normal Sale,90000,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19,1-STORY 1946 & NEWER,66,13695,Level,Sawyer West,Adjacent Railroad,5,5,2004,0,646,468,1114,0,1114,3,Good,6,0,Unfinished,2,Normal Sale,159000,102,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
20,1-STORY 1946 & NEWER,70,7560,Level,North Ames,Normal,5,6,1958,0,504,525,1339,0,1339,3,Average,6,0,Unfinished,1,"Abnormal Sale -  trade, foreclosure, short sale",139000,0,1,0,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
21,2-STORY 1946 & NEWER,101,14215,Level,Northridge Heights,Normal,8,5,2005,380,0,1158,1158,1218,2376,4,Good,9,1,Rough Finished,3,Home was not completed when last assessed (associated with New Homes),325300,394,3,1,3.5,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
23,1-STORY 1946 & NEWER,75,9742,Level,College Creek,Normal,8,5,2002,281,0,1777,1795,0,1795,3,Good,7,1,Rough Finished,2,Normal Sale,230000,330,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
24,1-STORY PUD,44,4224,Level,Meadow Village,Normal,5,7,1976,0,840,200,1060,0,1060,3,Average,6,1,Unfinished,2,Normal Sale,129900,210,2,0,2,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
25,1-STORY 1946 & NEWER,0,8246,Level,Sawyer,Normal,5,8,1968,0,188,204,1060,0,1060,3,Good,6,1,Unfinished,1,Normal Sale,154000,496,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
26,1-STORY 1946 & NEWER,110,14230,Level,Northridge Heights,Normal,8,5,2007,640,0,1566,1600,0,1600,3,Good,7,1,Rough Finished,3,Normal Sale,256300,56,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
27,1-STORY 1946 & NEWER,60,7200,Level,North Ames,Normal,5,7,1951,0,234,180,900,0,900,3,Good,5,0,Unfinished,2,Normal Sale,134800,254,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
28,1-STORY 1946 & NEWER,98,11478,Level,Northridge Heights,Normal,8,5,2007,200,1218,486,1704,0,1704,3,Good,7,1,Rough Finished,3,Normal Sale,306000,50,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
29,1-STORY 1946 & NEWER,47,16321,Level,North Ames,Normal,5,6,1957,0,1277,207,1600,0,1600,2,Average,6,2,Rough Finished,1,Normal Sale,207500,546,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
30,1-STORY 1945 & OLDER,60,6324,Level,Brookside,Near Railroad,4,6,1927,0,0,520,520,0,520,1,Fair,4,0,Unfinished,1,Normal Sale,68500,136,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
31,2-STORY 1945 & OLDER,50,8500,Level,Iowa DOT and Rail Road,Adjacent Feeder St,4,4,1920,0,0,649,649,668,1317,3,Average,6,0,Unfinished,1,Normal Sale,40000,226,1,0,1,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
32,1-STORY 1946 & NEWER,0,8544,Level,Sawyer,Normal,5,6,1966,0,0,1228,1228,0,1228,3,Good,6,0,Unfinished,1,Normal Sale,149350,65,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
33,1-STORY 1946 & NEWER,85,11049,Level,College Creek,Normal,8,5,2007,0,0,1234,1234,0,1234,3,Good,7,0,Rough Finished,2,Normal Sale,179900,30,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
34,1-STORY 1946 & NEWER,70,10552,Level,North Ames,Normal,5,5,1959,0,1018,380,1700,0,1700,4,Good,6,1,Rough Finished,2,Normal Sale,165500,38,1,2,2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
35,1-STORY PUD,60,7313,Level,Northridge Heights,Normal,9,5,2005,246,1153,408,1561,0,1561,2,Excellent,6,1,Finished,2,Normal Sale,277500,250,3,0,3,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
36,2-STORY 1946 & NEWER,108,13418,Level,Northridge Heights,Normal,8,5,2004,132,0,1117,1132,1320,2452,4,Good,9,1,Finished,3,Normal Sale,309000,145,3,1,3.5,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
37,1-STORY 1946 & NEWER,112,10859,Level,College Creek,Normal,5,5,1994,0,0,1097,1097,0,1097,3,Average,6,0,Unfinished,2,Normal Sale,145000,456,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
38,1-STORY 1946 & NEWER,74,8532,Level,North Ames,Normal,5,6,1954,650,1213,84,1297,0,1297,3,Average,5,1,Finished,2,Normal Sale,153000,0,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
39,1-STORY 1946 & NEWER,68,7922,Level,North Ames,Normal,5,7,1953,0,731,326,1057,0,1057,3,Good,5,0,Unfinished,1,"Abnormal Sale -  trade, foreclosure, short sale",109000,52,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
41,1-STORY 1946 & NEWER,84,8658,Level,North Ames,Normal,6,5,1965,101,643,445,1324,0,1324,3,Average,6,1,Rough Finished,2,"Abnormal Sale -  trade, foreclosure, short sale",160000,138,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
42,1-STORY 1946 & NEWER,115,16905,Level,Timberland,Normal,5,6,1959,0,967,383,1328,0,1328,2,Average,5,2,Rough Finished,1,Normal Sale,170000,104,1,2,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
43,SPLIT FOYER,0,9180,Level,Sawyer West,Normal,5,7,1983,0,747,0,884,0,884,2,Good,5,0,Rough Finished,2,Normal Sale,144000,240,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
44,1-STORY 1946 & NEWER,0,9200,Level,College Creek,Normal,5,6,1975,0,280,167,938,0,938,3,Average,5,0,Unfinished,1,Normal Sale,130250,145,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
45,1-STORY 1946 & NEWER,70,7945,Level,North Ames,Normal,5,6,1959,0,179,465,1150,0,1150,3,Average,6,0,Rough Finished,1,Normal Sale,141000,0,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
46,1-STORY PUD,61,7658,Level,Northridge Heights,Normal,9,5,2005,412,456,1296,1752,0,1752,2,Excellent,6,1,Rough Finished,2,Normal Sale,319900,278,3,0,3,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
47,1-1/2 STORY ALL AGES,48,12822,Level,Mitchell,Normal,7,5,2003,0,1351,83,1518,631,2149,1,Good,6,1,Rough Finished,2,"Abnormal Sale -  trade, foreclosure, short sale",239686,409,2,1,2.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
48,1-STORY 1946 & NEWER,84,11096,Level,Somerset,Normal,8,5,2006,0,24,1632,1656,0,1656,3,Good,7,0,Rough Finished,3,Normal Sale,249700,146,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
49,2 FAMILY CONVERSION,33,4456,Level,Old Town,Normal,4,5,1920,0,0,736,736,716,1452,2,Average,8,0,No Garage,0,Home was not completed when last assessed (associated with New Homes),113000,102,2,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
50,1-STORY 1946 & NEWER,66,7742,Level,Sawyer,Normal,5,7,1966,0,763,192,955,0,955,3,Average,6,0,Unfinished,1,Normal Sale,127000,0,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
51,2-STORY 1946 & NEWER,0,13869,Level,Gilbert,Normal,6,6,1997,0,182,612,794,676,1470,3,Average,6,0,Finished,2,Normal Sale,177000,75,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
52,1-1/2 STORY ALL AGES,52,6240,Level,Brookside,Normal,6,6,1934,0,0,816,816,0,816,3,Average,6,1,Unfinished,2,Normal Sale,114500,112,1,0,1,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
53,DUPLEX,110,8472,Banked,Iowa DOT and Rail Road,Near Railroad,5,5,1963,0,104,0,816,0,816,2,Average,5,0,Unfinished,2,Normal Sale,110000,106,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
54,1-STORY 1946 & NEWER,68,50271,Depression,Veenker,Normal,9,5,1981,0,1810,32,1842,0,1842,0,Good,5,1,Finished,3,Normal Sale,385000,929,2,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
55,SPLIT OR MULTI-LEVEL,60,7134,Banked,North Ames,Normal,5,5,1955,0,384,0,1360,0,1360,3,Average,6,1,Unfinished,2,Normal Sale,130000,50,1,0,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
56,1-STORY 1946 & NEWER,100,10175,Level,North Ames,Normal,6,5,1964,272,490,935,1425,0,1425,3,Average,7,1,Rough Finished,2,Normal Sale,180500,407,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
57,2-STORY PUD,24,2645,Level,Somerset,Normal,8,5,1999,456,649,321,983,756,1739,3,Good,7,0,Finished,2,"Abnormal Sale -  trade, foreclosure, short sale",172500,115,3,1,3.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
58,2-STORY 1946 & NEWER,89,11645,Level,College Creek,Normal,7,5,2004,0,0,860,860,860,1720,3,Good,7,0,Rough Finished,2,Normal Sale,196500,70,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
59,2-STORY 1946 & NEWER,66,13682,Hillside,Stone Brook,Normal,10,5,2006,1031,0,1410,1426,1519,2945,3,Good,10,1,Finished,3,Home was not completed when last assessed (associated with New Homes),438780,229,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
60,1-STORY 1946 & NEWER,60,7200,Banked,College Creek,Normal,5,7,1972,0,632,148,780,0,780,2,Average,4,0,Unfinished,1,Normal Sale,124900,196,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
61,1-STORY 1946 & NEWER,63,13072,Level,Sawyer West,Adjacent Railroad,6,5,2004,0,941,217,1158,0,1158,3,Good,5,0,Unfinished,2,Home was not completed when last assessed (associated with New Homes),158000,50,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3
62,2-1/2 STORY ALL AGES,60,7200,Level,Iowa DOT and Rail Road,Normal,5,7,1920,0,0,530,581,530,1111,3,Fair,6,0,Unfinished,1,Normal Sale,101000,144,1,0,1,0,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
