,Dwelling Type,Lot Frontage,Lot Area,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,1st Floor Area,2nd Floor Area,Total Area,Bedrooms Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Finish,Garage Cars,Sale Condition,Sale Price,Sale Price Cat,Porch Area,Full Bathrooms,Half Bathrooms,Bathrooms,Pool,Extra Kitchens,Baths per Bedroom,dt_1-1/2 STORY ALL AGES,dt_1-STORY 1945 & OLDER,dt_1-STORY PUD,dt_2 FAMILY CONVERSION,dt_2-1/2 STORY ALL AGES,dt_2-STORY 1945 & OLDER,dt_2-STORY 1946 & NEWER,dt_2-STORY PUD,dt_DUPLEX,dt_SPLIT FOYER,dt_SPLIT OR MULTI-LEVEL,lc_Banked,lc_Depression,lc_Hillside,nh_Bloomington Heights,nh_Bluestem,nh_Briardale,nh_Brookside,nh_Clear Creek,nh_College Creek,nh_Crawford,nh_Edwards,nh_Gilbert,nh_Iowa DOT and Rail Road,nh_Meadow Village,nh_Mitchell,nh_Northpark Villa,nh_Northridge,nh_Northridge Heights,nh_Northwest Ames,nh_Old Town,nh_Sawyer,nh_Sawyer West,nh_Somerset,nh_South & West of Iowa State,nh_Stone Brook,nh_Timberland,nh_Veenker,locc_Adjacent Arterial St,locc_Adjacent Feeder St,locc_Adjacent Pos Feature,locc_Adjacent Railroad,locc_Near Pos Feature,locc_Near Railroad,sc_Abnormal Sale,sc_Allocation,sc_Home not complete,sc_Sale within Family,gf_Finished,gf_Rough Finished,gf_Unfinished,Kitchen Quality Num,School_Name,School_Index,Comprehensive_Decision,Targeted_Decision,Growth,Percent Proficient,Percent_Male,Percent_Female,Percent_EL,Percent_FRL,Percent_IEP,Percent_Asian,Percent_Black,Percent_PacIs,Percent_Hispanic,Percent_Multi,Percent_NatAm,Percent_White,Percent_Foster_Care,Percent_Military_Connected,Percent_Migrant,Percent_Homeless,sch_Edwards,sch_Fellows,sch_Gilbert,sch_Meeker,sch_Mitchell,sch_Sawyer
18,2-STORY 1946 & NEWER,65,15426,Level,College Creek,Normal,6,5,1997,0,821,107,928,836,1764,3,Good,7,0,Rough Finished,2,Normal Sale,231500,215K or more,375,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
19,1-STORY 1946 & NEWER,78,11645,Level,College Creek,Normal,7,5,2005,0,1300,434,1734,0,1734,3,Good,7,0,Finished,2,Normal Sale,260000,215K or more,184,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
20,1-STORY 1946 & NEWER,78,10335,Level,College Creek,Normal,7,5,1999,183,679,811,1501,0,1501,3,Good,6,0,Rough Finished,2,Normal Sale,204000,165K up to 215K,173,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
21,1-STORY 1946 & NEWER,120,10356,Level,College Creek,Normal,5,6,1975,0,716,253,969,0,969,3,Average,5,0,Unfinished,2,Normal Sale,122000,Less than 132K,0,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
22,1-STORY 1946 & NEWER,68,9017,Level,College Creek,Normal,7,5,1999,0,560,871,1431,0,1431,3,Good,6,0,Finished,2,Normal Sale,192000,165K up to 215K,35,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
23,1-STORY 1946 & NEWER,60,7180,Level,College Creek,Normal,5,7,1972,0,390,474,864,0,864,3,Average,5,0,Unfinished,1,Normal Sale,127000,Less than 132K,0,1,0,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
24,1-STORY PUD,0,4438,Level,College Creek,Normal,6,5,2004,205,662,186,848,0,848,1,Good,3,1,Rough Finished,2,Normal Sale,149000,132K up to 165K,149,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
25,1-STORY 1946 & NEWER,43,13568,Level,College Creek,Normal,5,5,1995,0,716,274,990,0,990,3,Average,5,0,Unfinished,2,Normal Sale,156000,132K up to 165K,224,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
26,2-STORY 1946 & NEWER,0,10900,Level,College Creek,Normal,6,7,1977,153,378,311,689,703,1392,3,Average,6,0,Finished,1,Normal Sale,161750,132K up to 165K,36,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
27,1-STORY 1946 & NEWER,65,8450,Level,College Creek,Normal,7,5,2004,266,946,490,1436,0,1436,3,Good,8,0,Unfinished,2,Normal Sale,210000,165K up to 215K,237,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
28,1-STORY 1946 & NEWER,73,8990,Level,College Creek,Normal,7,5,2006,0,0,1498,1498,0,1498,2,Good,5,0,Rough Finished,2,Home was not completed when last assessed (associated with New Homes),204900,165K up to 215K,384,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
29,1-STORY 1946 & NEWER,75,10650,Level,College Creek,Normal,5,6,1976,0,182,0,894,0,894,3,Average,5,0,Unfinished,1,Normal Sale,128200,Less than 132K,365,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
30,1-STORY 1946 & NEWER,65,8773,Level,College Creek,Normal,7,5,2004,98,24,1390,1414,0,1414,3,Good,6,0,Rough Finished,2,Normal Sale,185500,165K up to 215K,237,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
31,2-STORY 1946 & NEWER,72,11317,Level,College Creek,Normal,7,5,2003,101,0,840,840,828,1668,3,Good,8,0,Rough Finished,2,Normal Sale,180000,165K up to 215K,212,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
32,1-STORY 1946 & NEWER,68,8814,Level,College Creek,Normal,7,5,2006,180,1334,270,1604,0,1604,3,Good,8,1,Rough Finished,2,"Abnormal Sale -  trade, foreclosure, short sale",220000,215K or more,233,3,1,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
33,2-STORY 1946 & NEWER,80,12435,Level,College Creek,Normal,7,5,2001,172,361,602,963,829,1792,3,Good,7,1,Rough Finished,2,Normal Sale,231500,215K or more,341,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
34,2-STORY 1946 & NEWER,69,9588,Level,College Creek,Normal,8,5,2007,270,0,1482,1482,1092,2574,3,Excellent,10,1,Finished,3,Home was not completed when last assessed (associated with New Homes),276000,215K or more,148,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
35,2-STORY 1946 & NEWER,120,15611,Level,College Creek,Normal,8,5,2006,0,0,1079,1079,840,1919,3,Good,8,1,Rough Finished,2,Home was not completed when last assessed (associated with New Homes),233230,215K or more,51,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
36,2-STORY 1946 & NEWER,66,16226,Level,College Creek,Normal,8,5,1998,0,281,747,1210,1242,2452,4,Good,9,1,Finished,2,Normal Sale,267000,215K or more,258,2,1,2.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
37,1-STORY 1946 & NEWER,118,13704,Level,College Creek,Normal,7,5,2001,150,0,1541,1541,0,1541,3,Good,6,1,Rough Finished,3,Normal Sale,205000,165K up to 215K,549,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
38,1-STORY 1946 & NEWER,70,9800,Level,College Creek,Normal,5,7,1972,0,894,0,894,0,894,3,Average,5,0,Unfinished,2,"Abnormal Sale -  trade, foreclosure, short sale",149900,132K up to 165K,256,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
